facility,total_pop
0,97.000000
1,147.000000
2,50.000000
3,75.000000
4,138.000000
5,140.000000
6,229.000000
7,47.000000
8,46.000000
10,175.000000
11,147.000000
12,50.000000
13,134.000000
14,134.000000
15,140.000000
16,78.000000
19,96.000000
20,78.000000
21,67.000000
22,161.000000
23,188.000000
24,104.000000
25,45.000000
26,65.000000
28,54.000000
29,18.000000
31,67.000000
32,252.000000
33,315.000000
34,175.000000
35,110.000000
36,65.000000
38,134.000000
42,76.000000
43,206.000000
44,136.000000
48,80.000000
50,78.000000
51,234.000000
52,277.000000
53,290.000000
54,93.000000
55,6.000000
56,28.000000
57,51.000000
58,26.000000
59,13.000000
60,170.000000
61,333.000000
62,285.000000
63,98.000000
64,93.000000
65,143.000000
66,68.000000
67,29.000000
68,26.000000
69,54.000000
70,133.000000
71,217.000000
72,133.000000
73,57.000000
74,100.000000
75,140.000000
76,40.000000
80,41.000000
81,26.000000
82,81.000000
83,129.000000
84,74.000000
85,17.000000
87,97.000000
88,97.000000
89,62.000000
91,26.000000
92,97.000000
93,153.000000
94,74.000000
97,97.000000
98,97.000000
